condition,Probability,targetType,compType
aan,0.5588235294117647,banana,lettuce
aan,0.5407554671968191,broccoli,corn
aan,0.5934755332496863,carrot,swan
aan,0.4592445328031809,corn,broccoli
aan,0.4759152215799614,egg,strawberry
aan,0.4411764705882353,lettuce,banana
aan,0.4444444444444444,pumpkin,tomato
aan,0.5240847784200385,strawberry,egg
aan,0.4065244667503137,swan,carrot
aan,0.5555555555555556,tomato,pumpkin
aap,0.6875,banana,lettuce
aap,0.6451612903225806,broccoli,corn
aap,0.6571428571428571,carrot,swan
aap,0.6000000000000001,corn,broccoli
aap,0.7272727272727273,egg,strawberry
aap,0.6666666666666666,lettuce,banana
aap,0.65,pumpkin,tomato
aap,0.6358381502890174,strawberry,egg
aap,0.6774193548387096,swan,carrot
aap,0.5806451612903225,tomato,pumpkin
atn,0.5625,banana,carrot
atn,0.8846153846153846,banana,pumpkin
atn,0.8041237113402062,broccoli,strawberry
atn,0.6387096774193549,broccoli,tomato
atn,0.7883817427385893,carrot,broccoli
atn,0.6336206896551725,carrot,lettuce
atn,0.7264957264957265,corn,strawberry
atn,0.5384615384615384,corn,tomato
atn,0.6914285714285715,egg,banana
atn,0.6956521739130435,egg,corn
atn,0.7142857142857143,lettuce,carrot
atn,0.7865168539325842,lettuce,pumpkin
atn,0.7123287671232876,pumpkin,egg
atn,0.7333333333333334,pumpkin,swan
atn,0.8429752066115702,strawberry,banana
atn,0.7575757575757576,strawberry,corn
atn,0.631578947368421,swan,broccoli
atn,0.8,swan,lettuce
atn,0.7159090909090908,tomato,egg
atn,0.7627118644067796,tomato,swan
atp,0.7857142857142857,banana,carrot
atp,0.7777777777777779,banana,pumpkin
atp,0.8695652173913044,broccoli,strawberry
atp,0.8,broccoli,tomato
atp,1,carrot,broccoli
atp,0.75,carrot,lettuce
atp,0.7777777777777779,corn,strawberry
atp,0.875,corn,tomato
atp,0.7692307692307692,egg,banana
atp,0.9285714285714286,egg,corn
atp,1,lettuce,carrot
atp,1,lettuce,pumpkin
atp,0.7142857142857143,pumpkin,egg
atp,0.75,pumpkin,swan
atp,0.7142857142857143,strawberry,banana
atp,0.8571428571428571,strawberry,corn
atp,0.7857142857142857,swan,broccoli
atp,0.9166666666666667,swan,lettuce
atp,0.875,tomato,egg
atp,0.8571428571428571,tomato,swan
tan,0.30857142857142855,banana,egg
tan,0.15702479338842976,banana,strawberry
tan,0.21161825726141079,broccoli,carrot
tan,0.3684210526315789,broccoli,swan
tan,0.43750000000000006,carrot,banana
tan,0.2857142857142857,carrot,lettuce
tan,0.30434782608695654,corn,egg
tan,0.24242424242424243,corn,strawberry
tan,0.28767123287671237,egg,pumpkin
tan,0.28409090909090906,egg,tomato
tan,0.3663793103448276,lettuce,carrot
tan,0.2,lettuce,swan
tan,0.11538461538461538,pumpkin,banana
tan,0.21348314606741572,pumpkin,lettuce
tan,0.1958762886597938,strawberry,broccoli
tan,0.2735042735042735,strawberry,corn
tan,0.26666666666666666,swan,pumpkin
tan,0.23728813559322032,swan,tomato
tan,0.3612903225806452,tomato,broccoli
tan,0.4615384615384615,tomato,corn
tap,0.6190476190476191,banana,egg
tap,0.6206896551724137,banana,strawberry
tap,0.41666666666666663,broccoli,carrot
tap,0.5975609756097562,broccoli,swan
tap,0.7122302158273381,carrot,banana
tap,0.6363636363636364,carrot,lettuce
tap,0.5833333333333334,corn,egg
tap,0.6666666666666666,corn,strawberry
tap,0.5614035087719298,egg,pumpkin
tap,0.45454545454545453,egg,tomato
tap,0.547486033519553,lettuce,carrot
tap,0.631578947368421,lettuce,swan
tap,0.6666666666666666,pumpkin,banana
tap,0.6428571428571428,pumpkin,lettuce
tap,1,strawberry,broccoli
tap,0.6923076923076923,strawberry,corn
tap,0.8470588235294118,swan,pumpkin
tap,0.5384615384615384,swan,tomato
tap,0.5714285714285715,tomato,broccoli
tap,0.5806451612903226,tomato,corn
ttn,0.5919117647058825,banana,corn
ttn,0.6086956521739131,broccoli,lettuce
ttn,0.4276729559748428,carrot,pumpkin
ttn,0.40808823529411764,corn,banana
ttn,0.5428571428571428,egg,swan
ttn,0.391304347826087,lettuce,broccoli
ttn,0.5723270440251572,pumpkin,carrot
ttn,0.43750000000000006,strawberry,tomato
ttn,0.45714285714285713,swan,egg
ttn,0.5625,tomato,strawberry
ttp,0.8158995815899581,banana,corn
ttp,0.9243243243243242,broccoli,lettuce
ttp,0.8241758241758242,carrot,pumpkin
ttp,0.8321678321678322,corn,banana
ttp,0.8050847457627118,egg,swan
ttp,0.8208955223880596,lettuce,broccoli
ttp,0.7606382978723404,pumpkin,carrot
ttp,0.7755102040816326,strawberry,tomato
ttp,0.7887323943661971,swan,egg
ttp,0.6989247311827956,tomato,strawberry
