uttProb,condition,intended_target,targetType
0.4117647058823529,aan,target,banana
0.5,aan,target,broccoli
0.6842105263157895,aan,target,carrot
0.3333333333333333,aan,target,corn
0.5,aan,target,egg
0.35294117647058826,aan,target,lettuce
0.6470588235294118,aan,target,pumpkin
0.4117647058823529,aan,target,strawberry
0.47368421052631576,aan,target,swan
0.7,aan,target,tomato
1,aap,target,banana
1,aap,target,broccoli
1,aap,target,carrot
1,aap,target,corn
1,aap,target,egg
1,aap,target,lettuce
1,aap,target,pumpkin
1,aap,target,strawberry
1,aap,target,swan
1,aap,target,tomato
0.29411764705882354,atn,target,banana
0.5625,atn,target,broccoli
0.5714285714285714,atn,target,carrot
0.5882352941176471,atn,target,corn
0.3333333333333333,atn,target,egg
0.5294117647058824,atn,target,lettuce
0.6086956521739131,atn,target,pumpkin
0.55,atn,target,strawberry
0.7142857142857143,atn,target,swan
0.8235294117647058,atn,target,tomato
1,atp,target,banana
1,atp,target,broccoli
1,atp,target,carrot
1,atp,target,corn
1,atp,target,egg
1,atp,target,lettuce
1,atp,target,pumpkin
1,atp,target,strawberry
1,atp,target,swan
1,atp,target,tomato
0.11764705882352941,tan,target,banana
0.2857142857142857,tan,target,broccoli
0.23809523809523808,tan,target,carrot
0.1111111111111111,tan,target,corn
0.2222222222222222,tan,target,egg
0.05555555555555555,tan,target,lettuce
0.15,tan,target,pumpkin
0.125,tan,target,strawberry
0.25,tan,target,swan
0.3333333333333333,tan,target,tomato
0.7777777777777778,tap,target,banana
0.375,tap,target,broccoli
0.8571428571428571,tap,target,carrot
1,tap,target,corn
0.8571428571428571,tap,target,egg
0.8,tap,target,lettuce
0.8571428571428571,tap,target,pumpkin
1,tap,target,strawberry
1,tap,target,swan
0.6666666666666666,tap,target,tomato
0.15,ttn,target,banana
0.25,ttn,target,broccoli
0.13043478260869565,ttn,target,carrot
0.1111111111111111,ttn,target,corn
0.2777777777777778,ttn,target,egg
0.07142857142857142,ttn,target,lettuce
0.2,ttn,target,pumpkin
0.19047619047619047,ttn,target,strawberry
0.21428571428571427,ttn,target,swan
0.07142857142857142,ttn,target,tomato
0.75,ttp,target,banana
0.5714285714285714,ttp,target,broccoli
0.8571428571428571,ttp,target,carrot
1,ttp,target,corn
0.8181818181818182,ttp,target,egg
0.8571428571428571,ttp,target,lettuce
0.7,ttp,target,pumpkin
0.6666666666666666,ttp,target,strawberry
1,ttp,target,swan
0.7777777777777778,ttp,target,tomato
0.5088757396449705,aan,comp,NA
0.5511363636363636,tan,comp,NA
0.1912568306010929,atn,comp,NA
0.1657754010695187,ttn,comp,NA
0.5555555555555556,aap,comp,NA
0.1595744680851064,atp,comp,NA
0.5393258426966292,tap,comp,NA
0.19148936170212766,ttp,comp,NA
