"col_type","color","type","typicality"
"green_broccoli","green","broccoli",100
"green_carrot","green","carrot",2
"green_corn","green","corn",6
"green_lettuce","green","lettuce",100
"green_swan","green","swan",5
"orange_banana","orange","banana",15
"orange_carrot","orange","carrot",100
"orange_lettuce","orange","lettuce",0
"orange_pumpkin","orange","pumpkin",100
"red_broccoli","red","broccoli",1.5
"red_corn","red","corn",12.5
"red_pumpkin","red","pumpkin",13.5
"red_strawberry","red","strawberry",100
"red_tomato","red","tomato",100
"white_carrot","white","carrot",4
"white_egg","white","egg",100
"white_pumpkin","white","pumpkin",2.5
"white_snowman","white","snowman",100
"white_swan","white","swan",100
"white_tomato","white","tomato",1.5
"yellow_banana","yellow","banana",100
"yellow_corn","yellow","corn",100
"yellow_egg","yellow","egg",12.5
"yellow_snowman","yellow","snowman",12
"yellow_strawberry","yellow","strawberry",3
